round,p_aggressive,p_defensive,p_balanced,avg_reward,strategy_entropy,personality_norm,personality_velocity,phase
62,0.25,0.25,0.5,1.3124999999999996,1.0397207705399178,0.02373098654127621,0.001488441113807703,burn-in
63,0.25,0.5,0.25,1.3687499999999997,1.0397207705399178,0.025300734577061175,0.0015697480357849646,burn-in
64,0.5,0.25,0.25,1.4249999999999996,1.0397207705399178,0.021621467277274032,0.003679267299787143,burn-in
65,0.0,0.25,0.75,1.4437499999999996,0.5623351444188083,0.021298749229708536,0.0003227180475654963,burn-in
66,1.0,0.0,0.0,1.4624999999999995,-1.000000082690371e-10,0.020978163249754343,0.0003205859799541924,burn-in
67,0.0,0.25,0.75,1.3874999999999995,0.5623351444188083,0.025279548167551753,0.004301384917797409,burn-in
68,0.5,0.0,0.5,1.4437499999999994,0.6931471803599453,0.021972807136827907,0.0033067410307238455,burn-in
69,0.25,0.25,0.5,1.4437499999999994,1.0397207705399178,0.021972807136827907,0.0,burn-in
70,0.0,1.0,0.0,1.5187499999999994,-1.000000082690371e-10,0.024945818022377386,0.002973010885549479,burn-in
71,0.25,0.25,0.5,1.5374999999999994,1.0397207705399178,0.026134750307036148,0.001188932284658762,burn-in
72,0.25,0.5,0.25,1.4812499999999993,1.0397207705399178,0.028149063779576818,0.00201431347254067,burn-in
73,0.5,0.0,0.5,1.4812499999999993,0.6931471803599453,0.028149063779576818,0.0,burn-in
74,0.5,0.0,0.5,1.4249999999999994,0.6931471803599453,0.030169874944498618,0.0020208111649217993,burn-in
75,0.25,0.25,0.5,1.4812499999999993,1.0397207705399178,0.030563792292606192,0.0003939173481075746,burn-in
76,0.5,0.25,0.25,1.5374999999999994,1.0397207705399178,0.02841009821446543,0.0021536940781407624,burn-in
77,0.25,0.25,0.5,1.4812499999999993,1.0397207705399178,0.0303703342895848,0.0019602360751193697,burn-in
78,0.5,0.25,0.25,1.5562499999999992,1.0397207705399178,0.026461966614054797,0.003908367675530003,burn-in
79,0.0,0.5,0.5,1.5749999999999993,0.6931471803599453,0.026129153045763017,0.00033281356829177947,burn-in
80,0.5,0.25,0.25,1.5749999999999993,1.0397207705399178,0.026129153045763017,0.0,burn-in
81,0.0,0.25,0.75,1.6312499999999994,0.5623351444188083,0.02402753592524428,0.0021016171205187374,burn-in
82,0.75,0.0,0.25,1.7062499999999994,0.5623351444188083,0.027299259439996497,0.0032717235147522172,burn-in
83,0.5,0.0,0.5,1.7624999999999995,0.6931471803599453,0.027740003830209088,0.00044074439021259126,burn-in
84,0.25,0.5,0.25,1.7812499999999996,1.0397207705399178,0.027431456560448868,0.0003085472697602204,burn-in
85,0.25,0.0,0.75,1.7062499999999994,0.5623351444188083,0.030874557183059644,0.0034431006226107765,burn-in
86,0.0,0.75,0.25,1.7062499999999994,0.5623351444188083,0.030874557183059644,0.0,burn-in
87,0.0,0.5,0.5,1.6312499999999996,0.6931471803599453,0.03448316945546725,0.003608612272407604,burn-in
88,0.25,0.25,0.5,1.6874999999999996,1.0397207705399178,0.03214043889712807,0.0023427305583391816,burn-in
89,0.5,0.5,0.0,1.7437499999999997,0.6931471803599453,0.030041962839502022,0.0020984760576260447,burn-in
90,1.0,0.0,0.0,1.7624999999999997,-1.000000082690371e-10,0.032637662506510935,0.0025956996670089133,burn-in
91,0.75,0.0,0.25,1.8187499999999996,0.5623351444188083,0.027635642432172657,0.005002020074338278,burn-in
92,0.0,0.25,0.75,1.8374999999999997,0.5623351444188083,0.02865591489262467,0.0010202724604520125,burn-in
93,0.0,0.5,0.5,1.8937499999999996,0.6931471803599453,0.027113933034204892,0.0015419818584197775,burn-in
94,0.25,0.75,0.0,1.9687499999999996,0.5623351444188083,0.0306425757389401,0.003528642704735206,burn-in
95,0.5,0.25,0.25,1.9874999999999998,1.0397207705399178,0.031006866679011806,0.00036429094007170773,burn-in
96,0.75,0.25,0.0,2.0437499999999997,0.5623351444188083,0.03147458189643776,0.00046771521742595273,burn-in
97,0.25,0.5,0.25,2.1187499999999995,1.0397207705399178,0.028221839454972295,0.0032527424414654643,burn-in
98,0.5,0.0,0.5,2.1374999999999997,0.6931471803599453,0.02774265574736269,0.00047918370760960394,burn-in
99,0.75,0.0,0.25,2.1937499999999996,0.5623351444188083,0.02603053095245416,0.0017121247949085303,burn-in
100,0.0,0.5,0.5,2.1937499999999996,0.6931471803599453,0.02603053095245416,0.0,burn-in
101,0.25,0.25,0.5,2.2125,1.0397207705399178,0.025799751358082823,0.00023077959437133727,tail
102,0.5,0.25,0.25,2.15625,1.0397207705399178,0.027201505013510017,0.0014017536554271938,tail
103,0.5,0.0,0.5,2.2125,0.6931471803599453,0.025540587592757954,0.001660917420752063,tail
104,0.25,0.25,0.5,2.1375,1.0397207705399178,0.028185559800188695,0.0026449722074307416,tail
105,0.5,0.5,0.0,2.15625,0.6931471803599453,0.02913489340788643,0.000949333607697736,tail
106,0.5,0.0,0.5,2.2125,0.6931471803599453,0.023759227008797314,0.005375666399089117,tail
107,0.5,0.25,0.25,2.26875,1.0397207705399178,0.02425156602904478,0.0004923390202474648,tail
108,0.5,0.5,0.0,2.2874999999999996,0.6931471803599453,0.0251039159738522,0.000852349944807422,tail
109,0.0,0.25,0.75,2.3437499999999996,0.5623351444188083,0.023605472161603316,0.0014984438122488848,tail
110,0.25,0.5,0.25,2.4187499999999997,1.0397207705399178,0.02056813499283152,0.003037337168771796,tail
111,0.25,0.25,0.5,2.4187499999999997,1.0397207705399178,0.02056813499283152,0.0,tail
112,0.75,0.25,0.0,2.3624999999999994,0.5623351444188083,0.026532286738676473,0.005964151745844953,tail
113,0.5,0.25,0.25,2.4187499999999997,1.0397207705399178,0.028197776212555255,0.0016654894738787826,tail
114,0.25,0.5,0.25,2.4749999999999996,1.0397207705399178,0.02417274528437635,0.004025030928178904,tail
115,0.0,0.25,0.75,2.3999999999999995,0.5623351444188083,0.026679204409364932,0.002506459124988581,tail
116,0.5,0.0,0.5,2.3437499999999996,0.6931471803599453,0.03075084687180746,0.004071642462442529,tail
117,0.75,0.0,0.25,2.3999999999999995,0.5623351444188083,0.032401674178711044,0.001650827306903583,tail
118,0.5,0.5,0.0,2.4749999999999996,0.6931471803599453,0.029136062813118948,0.0032656113655920964,tail
119,0.5,0.0,0.5,2.3999999999999995,0.6931471803599453,0.032959735800333644,0.0038236729872146956,tail
120,0.0,0.75,0.25,2.3249999999999997,0.5623351444188083,0.0360751109280657,0.0031153751277320577,tail
121,0.5,0.0,0.5,2.4,0.6931471803599453,0.03264578015311587,0.003429330774949828,tail
122,0.25,0.75,0.0,2.41875,0.5623351444188083,0.03217772909948773,0.0004680510536281407,tail
123,1.0,0.0,0.0,2.4937500000000004,-1.000000082690371e-10,0.02906924204951598,0.0031084870499717525,tail
124,0.25,0.5,0.25,2.5125,1.0397207705399178,0.02859390748286957,0.0004753345666464112,tail
125,0.0,0.5,0.5,2.4562500000000003,0.6931471803599453,0.03006670824091762,0.0014728007580480512,tail
126,0.0,0.75,0.25,2.5312500000000004,0.5623351444188083,0.027165708060797128,0.0029010001801204922,tail
127,0.25,0.5,0.25,2.60625,1.0397207705399178,0.02417894802876641,0.0029867600320307164,tail
128,0.25,0.25,0.5,2.6250000000000004,1.0397207705399178,0.027047676848791963,0.002868728820025552,tail
129,0.25,0.5,0.25,2.6437500000000003,1.0397207705399178,0.02733972390994891,0.0002920470611569477,tail
130,0.0,0.25,0.75,2.5875,0.5623351444188083,0.028844116781705755,0.001504392871756844,tail
131,0.0,0.25,0.75,2.60625,0.5623351444188083,0.029153188850259613,0.00030907206855385755,tail
132,0.0,1.0,0.0,2.625,-1.000000082690371e-10,0.02993637639969907,0.0007831875494394569,tail
133,0.5,0.25,0.25,2.68125,1.0397207705399178,0.03042133953831701,0.0004849631386179415,tail
134,0.25,0.25,0.5,2.625,1.0397207705399178,0.03179229466395935,0.0013709551256423404,tail
135,0.75,0.25,0.0,2.68125,0.5623351444188083,0.03227570169862937,0.00048340703467001506,tail
136,0.25,0.0,0.75,2.6999999999999997,0.5623351444188083,0.03203490663410108,0.00024079506452828747,tail
137,0.0,0.75,0.25,2.7562499999999996,0.5623351444188083,0.030593350993312497,0.0014415556407885825,tail
138,0.5,0.25,0.25,2.83125,1.0397207705399178,0.034339527151666126,0.003746176158353629,tail
139,0.5,0.0,0.5,2.8874999999999997,0.6931471803599453,0.032945326394649845,0.0013942007570162812,tail
140,0.25,0.25,0.5,2.83125,1.0397207705399178,0.034473904432274126,0.0015285780376242813,tail
141,0.5,0.25,0.25,2.9062499999999996,1.0397207705399178,0.03206864517674906,0.0024052592555250663,tail
142,0.5,0.0,0.5,2.9625,0.6931471803599453,0.03256012067442843,0.0004914754976793681,tail
143,0.0,0.5,0.5,3.01875,0.6931471803599453,0.031354298172481775,0.0012058225019466531,tail
144,0.75,0.25,0.0,3.0749999999999993,0.5623351444188083,0.0297038989794831,0.001650399192998673,tail
145,0.5,0.0,0.5,3.093749999999999,0.6931471803599453,0.02997068156502661,0.00026678258554350964,tail
146,0.75,0.0,0.25,3.1499999999999995,0.5623351444188083,0.027780310648410994,0.0021903709166156173,tail
147,0.25,0.25,0.5,3.2249999999999996,1.0397207705399178,0.026073730260977486,0.001706580387433508,tail
148,0.25,0.25,0.5,3.2812499999999996,1.0397207705399178,0.02553925355648068,0.0005344767044968071,tail
149,0.5,0.0,0.5,3.3374999999999995,0.6931471803599453,0.025094422382717023,0.00044483117376365594,tail
150,0.25,0.25,0.5,3.3562499999999993,1.0397207705399178,0.02520085977369265,0.00010643739097562777,tail
151,0.5,0.5,0.0,3.412499999999999,0.6931471803599453,0.02531915207516908,0.00011829230147642963,tail
152,0.25,0.5,0.25,3.468749999999999,1.0397207705399178,0.02571997980386248,0.0004008277286934002,tail
153,0.75,0.0,0.25,3.5437499999999993,0.5623351444188083,0.023312267276168967,0.0024077125276935132,tail
154,0.5,0.25,0.25,3.487499999999999,1.0397207705399178,0.025141233009186612,0.001828965733017645,tail
155,0.75,0.0,0.25,3.543749999999999,0.5623351444188083,0.021526681199669724,0.003614551809516888,tail
156,0.5,0.25,0.25,3.618749999999999,1.0397207705399178,0.021854444707477872,0.000327763507808148,tail
157,0.25,0.75,0.0,3.618749999999999,0.5623351444188083,0.021854444707477872,0.0,tail
158,0.0,0.0,1.0,3.562499999999999,-1.000000082690371e-10,0.02157128444251729,0.0002831602649605823,tail
159,0.25,0.5,0.25,3.618749999999999,1.0397207705399178,0.021936431597914564,0.0003651471553972746,tail
160,0.25,0.75,0.0,3.674999999999999,0.5623351444188083,0.02255323563260892,0.0006168040346943571,tail
161,0.0,0.5,0.5,3.6937499999999988,0.6931471803599453,0.022178460599945073,0.0003747750326638481,tail
162,0.25,0.5,0.25,3.637499999999999,1.0397207705399178,0.023709477491430708,0.001531016891485635,tail
163,0.0,0.75,0.25,3.6562499999999987,0.5623351444188083,0.023859951991313202,0.00015047449988249417,tail
164,0.0,0.0,1.0,3.674999999999999,-1.000000082690371e-10,0.0251340244296009,0.001274072438287699,tail
165,0.75,0.0,0.25,3.6937499999999988,0.5623351444188083,0.02506654338400528,6.748104559562221e-05,tail
166,0.25,0.75,0.0,3.749999999999999,0.5623351444188083,0.02658804327397722,0.0015214998899719424,tail
167,0.5,0.25,0.25,3.7687499999999994,1.0397207705399178,0.026155086344087333,0.000432956929889889,tail
168,0.5,0.25,0.25,3.8437499999999996,1.0397207705399178,0.02952585378387327,0.003370767439785937,tail
169,0.25,0.5,0.25,3.8624999999999994,1.0397207705399178,0.03221844521086567,0.002692591426992401,tail
170,0.25,0.25,0.5,3.8812499999999996,1.0397207705399178,0.0324347033690596,0.00021625815819392713,tail
171,1.0,0.0,0.0,3.9562499999999994,-1.000000082690371e-10,0.03150065447953232,0.000934048889527278,tail
172,0.75,0.0,0.25,3.974999999999999,0.5623351444188083,0.031064546936803702,0.00043610754272861707,tail
173,0.0,0.75,0.25,3.993749999999999,0.5623351444188083,0.0312663082446584,0.00020176130785469482,tail
174,0.5,0.5,0.0,3.9187499999999993,0.6931471803599453,0.032235603214199875,0.0009692949695414774,tail
175,0.5,0.0,0.5,3.937499999999999,0.6931471803599453,0.03177232919975775,0.0004632740144421277,tail
176,0.25,0.0,0.75,3.993749999999999,0.5623351444188083,0.031146209585241263,0.0006261196145164842,tail
177,0.25,0.25,0.5,4.049999999999999,1.0397207705399178,0.03070824852995968,0.000437961055281582,tail
178,0.5,0.25,0.25,4.106249999999999,1.0397207705399178,0.0304547635276941,0.0002534850022655813,tail
179,0.5,0.25,0.25,4.1625,1.0397207705399178,0.02906883891443415,0.00138592461325995,tail
180,1.0,0.0,0.0,4.218749999999999,-1.000000082690371e-10,0.029119522911327328,5.06839968931784e-05,tail
181,0.0,0.75,0.25,4.293749999999999,0.5623351444188083,0.0268290385408751,0.002290484370452227,tail
182,0.25,0.0,0.75,4.3687499999999995,0.5623351444188083,0.02968191467927502,0.0028528761383999172,tail
183,0.25,0.25,0.5,4.424999999999999,1.0397207705399178,0.03007317464673986,0.0003912599674648423,tail
184,0.25,0.5,0.25,4.44375,1.0397207705399178,0.03096957512355185,0.0008964004768119878,tail
185,0.75,0.0,0.25,4.499999999999999,0.5623351444188083,0.03094656152367938,2.3013599872469953e-05,tail
186,0.75,0.0,0.25,4.51875,0.5623351444188083,0.03186355322787375,0.0009169917041943719,tail
187,0.5,0.25,0.25,4.575,1.0397207705399178,0.03134555529585561,0.0005179979320181424,tail
188,0.0,0.75,0.25,4.65,0.5623351444188083,0.031651126943689274,0.0003055716478336662,tail
